Time,Action Type,Player Hand,Board,Cards Action,Wrong Actions,Reward,Score,Roles,Round Number,Player,Players Status
2020-02-29_19:15:37.405550,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,284,0.1,[],"[2, 3, 1, 0]",9,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:37.897419,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,332,0.1,[],"[2, 3, 1, 0]",9,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:37.899181,PIZZA_READY,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",10,,Pass_Pass_Pass_Pass
2020-02-29_19:15:38.088305,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[11],40,0.1,[],"[2, 3, 1, 0]",10,2,"Pass_Pass_('Discard: ', [11])_Pass"
2020-02-29_19:15:38.192724,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 8, 8, 8, 10, 10, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[5],5,0.1,[],"[2, 3, 1, 0]",10,3,"Pass_Pass_('Discard: ', [11])_('Discard: ', [5])"
2020-02-29_19:15:38.258163,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 8, 8, 8, 10, 10, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,2,0.1,[],"[2, 3, 1, 0]",10,0,"Pass_Pass_('Discard: ', [11])_('Discard: ', [5])"
2020-02-29_19:15:38.466012,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 8, 8, 8, 10, 10, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,98,0.1,[],"[2, 3, 1, 0]",10,1,"Pass_Pass_('Discard: ', [11])_('Discard: ', [5])"
2020-02-29_19:15:38.682650,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 8, 8, 8, 10, 10, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,103,0.1,[],"[2, 3, 1, 0]",11,2,"Pass_Pass_Pass_('Discard: ', [5])"
2020-02-29_19:15:39.244946,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[4],314,0.1,[],"[2, 3, 1, 0]",11,3,"Pass_Pass_Pass_('Discard: ', [4])"
2020-02-29_19:15:39.264554,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",11,0,"Pass_Pass_Pass_('Discard: ', [4])"
2020-02-29_19:15:39.745758,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,332,0.1,[],"[2, 3, 1, 0]",11,1,"Pass_Pass_Pass_('Discard: ', [4])"
2020-02-29_19:15:40.201402,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,129,0.1,[],"[2, 3, 1, 0]",12,2,"Pass_Pass_Pass_('Discard: ', [4])"
2020-02-29_19:15:40.634078,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,298,0.1,[],"[2, 3, 1, 0]",12,3,Pass_Pass_Pass_Pass
2020-02-29_19:15:40.675162,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1,0.1,[],"[2, 3, 1, 0]",12,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:41.084381,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,280,0.1,[],"[2, 3, 1, 0]",12,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:41.084468,PIZZA_READY,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10, 10, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",13,,Pass_Pass_Pass_Pass
2020-02-29_19:15:41.195359,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10]",14,0.1,[],"[2, 3, 1, 0]",13,3,"Pass_Pass_Pass_('Discard: ', [10, 10])"
2020-02-29_19:15:41.379830,DISCARD,"[0, 0, 0, 0, 0, 0, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 9]",69,0.1,[],"[2, 3, 1, 0]",13,0,"('Discard: ', [9, 9, 9, 9])_Pass_Pass_('Discard: ', [10, 10])"
2020-02-29_19:15:41.615011,PASS,"[0, 0, 0, 0, 0, 0, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]",,148,0.1,[],"[2, 3, 1, 0]",13,1,"('Discard: ', [9, 9, 9, 9])_Pass_Pass_('Discard: ', [10, 10])"
2020-02-29_19:15:41.881970,PASS,"[0, 0, 0, 0, 0, 0, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]",,183,0.1,[],"[2, 3, 1, 0]",13,2,"('Discard: ', [9, 9, 9, 9])_Pass_Pass_('Discard: ', [10, 10])"
2020-02-29_19:15:42.321469,PASS,"[0, 0, 0, 0, 0, 0, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]",,291,0.1,[],"[2, 3, 1, 0]",14,3,"('Discard: ', [9, 9, 9, 9])_Pass_Pass_Pass"
2020-02-29_19:15:42.422129,PASS,"[0, 0, 0, 0, 0, 0, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]",,5,0.1,[],"[2, 3, 1, 0]",14,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:42.519994,PASS,"[0, 0, 0, 0, 0, 0, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]",,5,0.1,[],"[2, 3, 1, 0]",14,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:42.669429,PASS,"[0, 0, 0, 0, 0, 0, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]",,50,0.1,[],"[2, 3, 1, 0]",14,2,Pass_Pass_Pass_Pass
2020-02-29_19:15:42.669515,PIZZA_READY,"[0, 0, 0, 0, 0, 0, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",15,,Pass_Pass_Pass_Pass
2020-02-29_19:15:42.935937,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 12, 12, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 12, 12]",135,0.1,[],"[2, 3, 1, 0]",15,0,"('Discard: ', [10, 10, 10, 10, 10, 12, 12])_Pass_Pass_Pass"
2020-02-29_19:15:42.957602,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 12, 12, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",15,1,"('Discard: ', [10, 10, 10, 10, 10, 12, 12])_Pass_Pass_Pass"
2020-02-29_19:15:43.073468,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 12, 12, 0, 0, 0, 0, 0, 0]",,23,0.1,[],"[2, 3, 1, 0]",15,2,"('Discard: ', [10, 10, 10, 10, 10, 12, 12])_Pass_Pass_Pass"
2020-02-29_19:15:43.428840,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 12, 12, 0, 0, 0, 0, 0, 0]",,240,0.1,[],"[2, 3, 1, 0]",15,3,"('Discard: ', [10, 10, 10, 10, 10, 12, 12])_Pass_Pass_Pass"
2020-02-29_19:15:43.680708,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 12, 12, 0, 0, 0, 0, 0, 0]",,160,0.1,[],"[2, 3, 1, 0]",16,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:43.701202,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 12, 12, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",16,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:43.892002,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 12, 12, 0, 0, 0, 0, 0, 0]",,99,0.1,[],"[2, 3, 1, 0]",16,2,Pass_Pass_Pass_Pass
2020-02-29_19:15:44.239408,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 12, 12, 0, 0, 0, 0, 0, 0]",,243,0.1,[],"[2, 3, 1, 0]",16,3,Pass_Pass_Pass_Pass
2020-02-29_19:15:44.239495,PIZZA_READY,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",17,,Pass_Pass_Pass_Pass
2020-02-29_19:15:44.477334,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[11],140,0.1,[],"[2, 3, 1, 0]",17,0,"('Discard: ', [11])_Pass_Pass_Pass"
2020-02-29_19:15:44.537711,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10]",2,0.1,[],"[2, 3, 1, 0]",17,1,"('Discard: ', [11])_('Discard: ', [10, 10, 10, 10])_Pass_Pass"
2020-02-29_19:15:44.993745,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]",,323,0.1,[],"[2, 3, 1, 0]",17,2,"('Discard: ', [11])_('Discard: ', [10, 10, 10, 10])_Pass_Pass"
2020-02-29_19:15:45.166116,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]",,89,0.1,[],"[2, 3, 1, 0]",17,3,"('Discard: ', [11])_('Discard: ', [10, 10, 10, 10])_Pass_Pass"
2020-02-29_19:15:45.692603,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]",,361,0.1,[],"[2, 3, 1, 0]",18,0,"Pass_('Discard: ', [10, 10, 10, 10])_Pass_Pass"
2020-02-29_19:15:45.750828,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]",,2,0.1,[],"[2, 3, 1, 0]",18,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:45.954296,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]",,117,0.1,[],"[2, 3, 1, 0]",18,2,Pass_Pass_Pass_Pass
2020-02-29_19:15:46.288062,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]",,229,0.1,[],"[2, 3, 1, 0]",18,3,Pass_Pass_Pass_Pass
2020-02-29_19:15:46.288147,PIZZA_READY,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",19,,Pass_Pass_Pass_Pass
